bigrama,frecuencia,probabilidad
suicide bomber,54,0.002036967182195398
northern california,41,0.0015465861938890985
oil spill,38,0.0014334213504337986
california wildfire,34,0.0012825348924933987
suicide bombing,34,0.0012825348924933987
burning buildings,30,0.001131648434552999
homes razed,29,0.0010939268200678988
latest homes,28,0.001056205205582799
razed northern,28,0.001056205205582799
severe thunderstorm,27,0.001018483591097699
confirmed mh370,27,0.001018483591097699
mass murder,26,0.000980761976612599
sue legionnaires,25,0.000943040362127499
debris found,25,0.000943040362127499
fatal outbreak,25,0.000943040362127499
