text,target,categoria,sentiment_polarity,negativity,positivity,sentiment_label
Horrible Accident  Man Died In Wings of Airplane (29-07-2015) http://t.co/i7kZtevb2v,1,Desastre real,-1.0,1.0,0.0,Negativo
#Horrible #Accident Man Died In Wings Airplane (29-07-2015) #WatchTheVideo http://t.co/p64xRVgJIk,1,Desastre real,-1.0,1.0,0.0,Negativo
"This is unbelievably insane.
#man #airport #airplane #aircraft #aeroplane #runway #accident #freakyÛ_ https://t.co/cezhq7CzLl",1,Desastre real,-1.0,1.0,0.0,Negativo
Horrible Accident |  Man Died In Wings of AirplaneåÊ(29-07-2015) http://t.co/wq3wJsgPHL,1,Desastre real,-1.0,1.0,0.0,Negativo
Horrible Accident Man Died In Wings of Airplane (29-07-2015) http://t.co/TfcdRONRA6,1,Desastre real,-1.0,1.0,0.0,Negativo
OMG Horrible Accident Man Died in Wings of Airplane. http://t.co/xDxDPrcPnS,1,Desastre real,-1.0,1.0,0.0,Negativo
My phone looks like it was in a car ship airplane accident. Terrible,0,No desastre,-1.0,1.0,0.0,Negativo
@58hif my trick is to think about nasty things,0,No desastre,-1.0,1.0,0.0,Negativo
Horrific attack on wife by muslim in Italy http://t.co/nY3l1oRZQb LiveLeak #News,1,Desastre real,-1.0,1.0,0.0,Negativo
@envw98 @NickCoCoFree @JulieDiCaro @jdabe80 Why am I the worst person? Questioning how julie attacked him?  Do you guys have no empathy?,0,No desastre,-1.0,1.0,0.0,Negativo
