text,target,categoria,sentiment_polarity,negativity,positivity,sentiment_label
What a wonderful day!,0,No desastre,1.0,0.0,1.0,Positivo
Ablaze for you Lord :D,0,No desastre,1.0,0.0,1.0,Positivo
Building the perfect tracklist to life leave the streets ablaze,0,No desastre,1.0,0.0,1.0,Positivo
'Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose.' ÛÒ Steve Jobs,0,No desastre,1.0,0.0,1.0,Positivo
Best movie you've ever seen? - Armageddon  http://t.co/qoUXIgdtbZ,0,No desastre,1.0,0.0,1.0,Positivo
#NOWPLAYING Arsonist MC -  So Impressed -  @ARSONISTMUSIC http://t.co/1ElreH1jLJ,0,No desastre,1.0,0.0,1.0,Positivo
on town of salem i just melted ice cube bc im the arsonist :D,0,No desastre,1.0,0.0,1.0,Positivo
I liked a @YouTube video http://t.co/XO2ZbPBJB3 FEMA REGION III TARGETED for BIOTERRORISM !!! NASA - JAPAN ROCKET LAUNCH with LITHIUM,1,Desastre real,1.0,0.0,1.0,Positivo
the best thing at DQ is the cotton candy blizzard ??????????????????????????????????????????????????,0,No desastre,1.0,0.0,1.0,Positivo
That moment when ur about to win a mini uhc and than get blown up by a creeper and get kicked for flying..... So salty rn...!!!??,0,No desastre,1.0,0.0,1.0,Positivo
