palabra,frecuencia,tipo
new,226,Positiva
first,109,Positiva
love,102,Positiva
full,93,Positiva
good,89,Positiva
many,78,Positiva
best,74,Positiva
really,71,Positiva
lol,71,Positiva
right,68,Positiva
old,68,Positiva
hot,66,Positiva
much,64,Positiva
live,63,Positiva
great,60,Positiva
latest,60,Positiva
top,55,Positiva
near,54,Positiva
wild,47,Positiva
high,47,Positiva
killed,99,Negativa
dead,97,Negativa
black,68,Negativa
shit,56,Negativa
military,52,Negativa
little,49,Negativa
fucking,46,Negativa
bad,46,Negativa
bloody,45,Negativa
missing,43,Negativa
failure,42,Negativa
trapped,42,Negativa
destroy,41,Negativa
game,39,Negativa
long,39,Negativa
fuck,39,Negativa
least,36,Negativa
violent,36,Negativa
past,35,Negativa
trouble,34,Negativa
like,347,Neutra
not,295,Neutra
no,263,Neutra
fire,249,Neutra
i'm,246,Neutra
get,229,Neutra
via,217,Neutra
news,204,Neutra
one,197,Neutra
people,194,Neutra
video,162,Neutra
emergency,157,Neutra
disaster,153,Neutra
police,142,Neutra
would,131,Neutra
body,129,Neutra
time,128,Neutra
still,128,Neutra
us,126,Neutra
day,120,Neutra
