trigrama,frecuencia,probabilidad
northern california wildfire,29,0.0012438344413467724
homes razed northern,28,0.0012009435985417113
latest homes razed,28,0.0012009435985417113
razed northern california,27,0.0011580527557366503
families sue legionnaires,25,0.001072271070126528
suicide bomber detonated,25,0.001072271070126528
families affected fatal,25,0.001072271070126528
affected fatal outbreak,25,0.001072271070126528
airport get swallowed,24,0.0010293802273214669
legionnaires families affected,24,0.0010293802273214669
