palabra,frecuencia,probabilidad
fire,177,0.005956587582029278
news,137,0.004610466094565034
via,119,0.004004711425206125
disaster,116,0.0039037523136463068
california,114,0.0038364462392730943
no,112,0.003769140164899882
police,108,0.003634528016153458
suicide,106,0.0035672219417802456
people,103,0.0034662628302204275
killed,95,0.0031970385327275788
like,93,0.0031297324583543663
not,92,0.0030960794211677602
hiroshima,90,0.003028773346794548
storm,89,0.002995120309607942
crash,85,0.0028605081608615176
fires,84,0.0028268551236749115
families,79,0.0026585899377418814
emergency,77,0.002591283863368669
nuclear,73,0.0024566717146222447
train,71,0.0023893656402490327
