palabra,frecuencia,probabilidad
like,254,0.007151504913140186
not,203,0.00571557282428133
new,170,0.004786440296196188
get,163,0.004589351578117521
no,151,0.004251485204268378
one,133,0.0037446856434946644
body,116,0.0032660416138750458
would,100,0.0028155531154095224
via,98,0.002759242053101332
video,96,0.002702930990793141
people,93,0.0026184643973308558
love,91,0.002562153335022665
day,86,0.002421375679252189
know,86,0.002421375679252189
back,85,0.002393220148098094
got,84,0.0023650646169439985
full,83,0.0023369090857899033
time,83,0.0023369090857899033
see,82,0.0023087535546358084
emergency,80,0.002252442492327618
